model,precision,recall,f1,roc_auc,pr_auc
LightGBM,0.07660652105096549,0.32570659488559894,0.12403895438236802,0.7218797012631865,0.07163440377137444
XGBoost,0.07004341534008683,0.32570659488559894,0.11529299666507861,0.7071210281753207,0.06730449210273055
Linear SVM,0.052972772735691794,0.38492597577388965,0.09312927385216542,0.6530945194942668,0.05810114273786647
Random Forest,0.050445103857566766,0.02288021534320323,0.03148148148148148,0.698543067326902,0.056218640449219585
