model,threshold,precision,recall,f1,f2
Random Forest,0.061747072477099846,0.06488391376451078,0.42126514131897713,0.11244835638584516,0.20074397126702173
Linear SVM,-0.09644693267731803,0.04893558197401161,0.47644683714670255,0.08875517111696127,0.17342739564935988
XGBoost,0.4017784893512726,0.06414571372005544,0.4360699865410498,0.11183983431135658,0.20191948149042266
LightGBM,0.40589104294945844,0.06816677696889477,0.4158815612382234,0.11713419257012889,0.20586275816092686
